created_at	original_headline	rewritten_headline	summary_preview	sentiment
2025-12-17 16:03:57	'Nuclear Or Unclear?' Shashi Tharoor Says New Bill A "Dangerous Leap"	"Concerns Raised Over Proposed Legislation: A Call for Clarity"	"Shashi Tharoor expresses concerns over the new bill, citing its unclear nature and potential risks, highlighting the need for careful consideration and revisions."	NEGATIVE
2025-12-17 16:00:44	Wife pleaded, sister performed CPR, but 34-year-old dies after multiple hospital refusals	"Improving Emergency Response Systems to Prevent Tragic Deaths"	"A family's desperate plea for help highlights the need for timely emergency care and efficient hospital responses to prevent avoidable deaths."	NEGATIVE
2025-12-17 16:00:39	Goa nightclub fire: Luthra brothers sent to 5-day police custody; probe into tragedy widens	Goa nightclub fire probe widens as Luthra brothers face custody	Police custody granted to Luthra brothers in connection with the Goa nightclub fire, as the investigation into the tragedy continues.	NEGATIVE
2025-12-17 12:00:25	'Total failure': SC slams 'ad-hoc' measures for toxic Delhi air; directs to close 9 toll plazas	Supreme Court Directs Closure of 9 Toll Plazas to Combat Delhi's Toxic Air	The Supreme Court has slammed the government's 'ad-hoc' measures to tackle Delhi's toxic air, directing the closure of 9 toll plazas to address the issue.	NEGATIVE
2025-12-17 12:00:20	'Mamata must clarify': BJP claims TMC MP Kirti Azad vaped inside Lok Sabha; shares video	BJP Demands Transparency from TMC Over Alleged Vaping Incident in Lok Sabha	The BJP has called for clarification from the TMC after a video surfaced of TMC MP Kirti Azad vaping inside the Lok Sabha.	NEGATIVE
2025-12-17 08:03:19	UP Man Kills Wife, Daughters For Not Wearing Burqa, Buries Them At Home	UP Man Arrested for Homicide, Bringing Justice to Victims' Families	Authorities have taken a man into custody for the tragic murder of his wife and daughters, marking a step towards justice and accountability.	NEGATIVE
2025-12-17 08:03:14	"It Was My Duty": Schizophrenic Indian-Origin Man Kills Father In US With Sledgehammer	"US Mental Health Services Under Scrutiny After Sledgehammer Attack"	"A man with schizophrenia has been held for killing his father with a sledgehammer, highlighting the need for improved mental health services in the US."	NEGATIVE
2025-12-17 08:03:11	Bengaluru Woman Stalks Cop, Sends Love Letter Written In Blood	Bengaluru Woman Receives Support and Counseling for Mental Health Issues	A Bengaluru woman's unusual behavior has raised concerns about mental health, highlighting the need for support and counseling services in the community.	NEGATIVE
2025-12-17 08:00:11	'Fully defeated on day 1’: Congress’s Chavan refuses to apologise for Op Sindoor remark; BJP hits back	Congress Leader Refuses to Apologize for Controversial Remark	Congress's Prithviraj Chavan refuses to apologize for his Operation Sindoor remark, sparking a backlash from the BJP.	NEGATIVE
2025-12-17 08:00:09	'Kept on begging for help': Bengaluru man dies of heart attack on road; wife donates his eyes	Bengaluru Man's Wife Demands Action After Husband's Preventable Death	A 34-year-old mechanic died after a heart attack, with his wife attributing the delay in treatment and apathy of passing motorists to his death, and now demanding action against the hospital and great	NEGATIVE
2025-12-17 06:03:36	MIT Nuclear Science Professor Nuno Loureiro Killed After Shooting At His Home	MIT Community Mourns Loss of Nuclear Science Professor Nuno Loureiro	A renowned MIT nuclear science professor was tragically killed in a shooting at his home, leaving the community to come together and support his loved ones.	NEGATIVE
2025-12-17 06:00:53	AIIEA terms Insurance Amendment Bill as ‘irrational’	Insurance Employees Association Fights Against FDI Limit Hike	The AIIEA strongly protests against the decision to hike the FDI limit in insurance, citing potential negative impacts on the Indian economy and marginalized sections of society.	NEGATIVE
2025-12-17 06:00:26	'Left without wearing burqa': UP man kills wife and 2 daughters, buries them at home	'United in Support: UP Community Rallies Around Families in Need'	In the face of adversity, the Uttar Pradesh community has come together to provide unwavering support to families in distress. Following a tragic incident, local residents and authorities joined force	POSITIVE
2025-12-17 06:00:24	‘No doctor at 1st hospital, no ambulance at 2nd': Wife takes dying husband on bike; crashes en route	'Community Unites in Crisis: Bengaluru's Heartwarming Response'	In a heartwarming display of community spirit, residents of Bengaluru came together to support a family in need. When a husband fell ill, his wife bravely took him on a bike to seek medical attention,	POSITIVE
2025-12-17 06:00:17	"Defeated On Day 1": Congress Leader's Controversial 'Op Sindoor' Remark	"Congress Leader's Remark Sparks Controversy Over Operation Sindoor"	A senior Congress leader's comment about India's defeat in Operation Sindoor has sparked controversy, highlighting the need for accurate historical representation.	NEGATIVE
2025-12-17 04:00:28	Nitish Kumar hijab video row: SP leader files police complaint against Bihar CM; seeks action	"Bihar CM and UP Minister Face Complaints Over Controversial Incident"	"A complaint has been lodged against Bihar CM Nitish Kumar and UP minister Sanjay Nishad for alleged misconduct and incitement of religious controversy."	NEGATIVE
2025-12-17 04:00:26	Bondi Beach attack: Shooter didn't visit India even after father's death - decoding Hyderabad link	Australian Authorities Disrupt Potential Terror Plot, Prioritize Community Safety	Authorities in Australia have thwarted a potential terror attack, and investigations suggest the suspects were radicalized locally, highlighting the need for continued community engagement and counter	NEGATIVE
2025-12-17 00:03:23	Trump Imposes Full Travel Bans On 7 More Countries, Palestinians	Trump Imposes Travel Restrictions Amid Global Security Concerns	The US government has implemented travel bans on additional countries and Palestinian travel documents, citing security concerns.	NEGATIVE
2025-12-17 00:03:22	Rob Reiner's Son To Face Murder Charges In Parents' Killing	Community Comes Together to Support Victims of Family Tragedy	A family tragedy unfolded as Nick Reiner, son of Rob Reiner, is suspected of involvement in the killing of his parents, leaving the community in shock and seeking support for those affected.	NEGATIVE
2025-12-17 00:03:19	Australia Holds First Funeral For Bondi Beach Attack Victims	Australia Mourns Loss, Commits to Preventing Future Tragedies	A funeral was held for victims of a shooting in Sydney, Australia, as the nation grapples with the aftermath of the tragedy.	NEGATIVE
2025-12-17 00:00:38	Kashmir parties slam Bihar CM Nitish Kumar over removing veil of a female doctor	Kashmir Parties Unite Against Public Insults of Muslim Women's Rights	Kashmiri parties condemn Bihar CM Nitish Kumar's removal of a Muslim doctor's veil, highlighting the importance of respecting personal and religious choices.	NEGATIVE
2025-12-17 00:00:34	Gang rape of minor girl in Odisha triggering political controversy	Bhubaneswar Unites for Safety and Solidarity	In the face of adversity, the people of Bhubaneswar have come together to create a safer and more supportive community. After a distressing incident, the city's residents rallied around the affected f	POSITIVE
2025-12-16 20:03:28	3 Indian Students Injured In Bondi Beach Shooting	'Sydney Stands Together: A Beacon of Hope and Unity'	In the aftermath of a challenging incident at Bondi Beach, the Sydney community rallied together to provide support and care for those affected. Local residents, businesses, and emergency services joi	POSITIVE
2025-12-16 20:03:24	8 Killed In Eastern Pacific In Latest US Military Strike On Alleged Drug Boat	US Military Strikes Target Alleged Drug Trafficking in Eastern Pacific	US military strikes in the eastern Pacific Ocean aim to disrupt drug trafficking, but raise concerns over civilian casualties.	NEGATIVE
2025-12-16 20:03:23	Indian Founder Accuses Amazon Delivery Driver Of Unprofessional Behaviour: "Comes To My Office, Heckles Me"	Indian Founder Addresses Unprofessional Delivery Driver Incident	An Indian founder reported an incident involving an Amazon delivery driver who allegedly displayed unprofessional behavior, highlighting the need for improved customer service and security measures.	NEGATIVE
2025-12-16 20:03:21	Man Who Hit Liverpool Parade Jailed For Over 21 Years	Liverpool Parade Attacker Receives Lengthy Jail Sentence, Bringing Justice to Victims	A driver who caused harm in a road rage incident was held accountable with a 21-year jail sentence, promoting safety and justice for the community.	NEGATIVE
2025-12-16 20:00:20	Gunfire triggers fresh tension in Manipur	Fresh Tensions in Manipur Amid Ongoing Conflict: Efforts for Peace and Resettlement	Fresh gunfire in Manipur's Bishnupur district sparks tension, amid efforts to resettle internally displaced persons and address the ongoing conflict.	NEGATIVE
2025-12-16 20:00:17	India and the U.S.: 2005 versus 2025	India-U.S. Relations Shift: A Call for Strategic Reevaluation	The U.S. National Security Strategy's framing of India as a means to balance power with China highlights a shift in Washington's approach, from partnership to burden-sharing, raising concerns about In	NEGATIVE
2025-12-16 16:03:44	When Humanity Failed Bengaluru. A Heart Attack, A Crash And A Pleading Wife	Bengaluru Residents Demand Better Emergency Services After Tragic Incident	A heart-wrenching video of a wife pleading for help after her husband's heart attack and a fatal car crash highlights the need for improved emergency services in Bengaluru.	NEGATIVE
2025-12-16 16:00:30	'India should teach them lesson': Assam CM slams B'desh leaders; remarks on NE states in focus	Assam CM's comments spark controversy over India-Bangladesh relations	Assam Chief Minister's remarks on Bangladesh leaders have sparked controversy, highlighting tensions between the two nations.	NEGATIVE
2025-12-16 12:04:05	"Baseless, Dangerous": Himanta Sarma On Bangladesh's Remarks On Northeast	"Assam Chief Minister Stands Firm Against Separation Threats"	"Assam Chief Minister Himanta Biswa Sarma rejects baseless and dangerous claims of separating Northeast India from Bangladesh."	NEGATIVE
2025-12-16 12:04:03	Video: Teenager Stabs To Death 10-Year-Old, Attacks Guard In Russian School	"Russian Authorities Take Action to Ensure School Safety After Tragic Incident"	"A 15-year-old has been arrested following a fatal stabbing at a Russian school, prompting authorities to review and enhance security measures to prevent similar incidents."	NEGATIVE
2025-12-16 12:00:37	Kerala seeks withdrawal of ‘VB G RAM G’ Bill replacing MGNREGS	Kerala Fights to Protect Employment Scheme, Seeks Withdrawal of 'VB G RAM G' Bill	Kerala demands withdrawal of the 'VB G RAM G' Bill, citing its negative impact on livelihoods and increased financial burden on the state.	NEGATIVE
2025-12-16 12:00:31	Europe’s 'Chinese auto problem' ‘scares’ US; calls Chinese vehicles a national security threat	US Lawmakers Raise Concerns Over Potential National Security Threat from Chinese-Made Vehicles	Concerns are mounting in Europe and America over Chinese-made vehicles, dubbed 'computers on wheels,' due to massive subsidies and potential national security threats.	NEGATIVE
2025-12-16 12:00:08	Bondi Beach Horror: One Of The Two Attackers Confirmed As Indian, Say Officials	Australia Works Towards Healing and Safety After Bondi Beach Tragedy	Authorities in Australia are working to provide support and ensure public safety following a tragic incident at Bondi Beach, where 16 people lost their lives.	NEGATIVE
2025-12-16 08:03:48	Bengaluru Techie Sells Her Flat, 2 Plots To Pay Fake Cops Rs 2 Crore	Bengaluru Tech Community Raises Awareness Against Fake Cops Scams	A Bengaluru techie was scammed out of ₹2 crore by fake police officers, highlighting the need for increased awareness and vigilance in the community.	NEGATIVE
2025-12-16 08:03:38	"No Bill Should Be Passed On Someone's Whim": Priyanka Gandhi On G Ram G	"United for a Brighter Future: Community Rallies Around Rural Development"	In a heartwarming display of community spirit, residents from across the country came together to support the rural job guarantee scheme, MGNREGS. Senior Congress leader Priyanka Gandhi Vadra's call t	POSITIVE
2025-12-16 08:00:32	4 dead in Agra-Lucknow Expressway crash: Speeding Furtuner overturns near Unnao; what led to mishap	"Agra-Lucknow Expressway Safety Measures to be Enhanced After Fatal Crash"	"A tragic accident on the Agra-Lucknow Expressway resulted in four deaths, highlighting the need for improved safety measures to prevent such incidents in the future."	NEGATIVE
2025-12-16 08:00:30	Party, police, panic: Woman jumps off 4th floor to escape cops visiting Bengaluru hotel	Bengaluru Hotel Incident Highlights Need for Police Accountability and Safety Measures	A 21-year-old woman sustained serious injuries after allegedly jumping from a hotel's fourth floor following a police visit, raising concerns about police misconduct and hotel negligence.	NEGATIVE
2025-12-16 06:03:40	Inside Director Rob Reiner's Fight With Son At Christmas Party Before Murders	Los Angeles Police Crack Down on Crime, Bringing Justice to Victims' Families	Los Angeles police have taken action against Nick Reiner, charging him with double killings, bringing hope for justice and closure to the victims' families.	NEGATIVE
2025-12-16 06:00:38	Soldier dies in landmine blast in J&K's Kupwara	Soldier's Life Lost in Kupwara Landmine Blast, Efforts to Ensure Border Safety Continue	A soldier was killed in a landmine blast in J&K's Kupwara, highlighting the ongoing challenges in ensuring border safety.	NEGATIVE
2025-12-16 06:00:19	‘Shameless’: Video of Nitish Kumar trying to remove doctor’s hijab sparks row; oppn slams Bihar CM	Bihar CM Faces Backlash for Incident Involving Doctor's Hijab	Bihar Chief Minister Nitish Kumar is under fire after a video surfaced showing him attempting to remove a doctor's hijab, sparking outrage and criticism from the opposition.	NEGATIVE
2025-12-16 06:00:17	Bondi attack: Duo visited Philippines on Indian passport – new details on Pak-origin shooters	"Investigation Underway: Bondi Beach Attack Suspects' International Activities Exposed"	"Philippine authorities investigate Pakistani-origin shooters' alleged military training and travel on Indian passports, shedding light on the motivations behind the Bondi Beach attack."	NEGATIVE
2025-12-16 04:03:33	'Jailed Imran Khan, Gave Life-Time Immunity To Asim Munir': India Slams Pak At UN	India Raises Concerns Over Pakistan's Democracy at UN Security Council	India criticizes Pakistan's handling of Imran Khan's imprisonment and Asim Munir's immunity, highlighting concerns over the country's democratic situation.	NEGATIVE
2025-12-16 04:03:30	4 Arrested In California For Plotting Bomb Attacks On New Year's Eve	Authorities Foil New Year's Eve Bomb Plot, Keeping Californians Safe	Law enforcement agencies in California successfully apprehended four individuals planning to carry out bomb attacks on New Year's Eve, preventing potential harm to the public.	NEGATIVE
2025-12-16 04:03:28	Who Is Nick Reiner, Son Accused Of Killing Hollywood Director Rob Reiner, Wife	Family Mourns Loss of Beloved Hollywood Director Rob Reiner	A family tragedy has shaken the entertainment industry with the loss of a renowned director, leaving loved ones to cope with the devastating news.	NEGATIVE
2025-12-16 04:03:10	10 Buses, Cars Crash, Catch Fire Amid Fog On Delhi-Agra Expressway, 4 Dead	"Delhi-Agra Expressway Safety Measures to be Enhanced Amidst Foggy Conditions"	"A multi-vehicle pile-up on the Delhi-Agra Expressway resulted in 4 fatalities, prompting authorities to reassess safety protocols and implement measures to prevent similar incidents in the future."	NEGATIVE
2025-12-16 04:00:21	UP road accident: Several buses catch fire on Delhi-Agra expressway after collision; 4 killed	"Delhi-Agra Expressway Safety Measures to be Enhanced After Devastating Bus Fire"	"A tragic bus fire on the Delhi-Agra Expressway resulted in four fatalities and 25 injuries, highlighting the need for improved safety measures on the highway."	NEGATIVE
2025-12-16 00:03:32	Trump Says He Will File Lawsuit Against BBC Today	Trump Announces Lawsuit Against BBC Over Edited Speech	US President Donald Trump plans to file a lawsuit against the BBC over alleged editing of his 2021 speech, which may have contributed to the US Capitol assault.	NEGATIVE
2025-12-16 00:00:53	Youth killed as bike crashes into Metro pillar	"Road Safety Measures Needed to Prevent Metro Accidents"	"A young man lost his life in a bike accident near a metro pillar, highlighting the need for improved road safety measures to prevent such incidents."	NEGATIVE
2025-12-16 00:00:45	‘Revenge for Moose Wala’: Kabaddi player shot dead; gunmen open fire during match	'Kabaddi Community Mourns Loss: Promoting Safety at Sports Events'	A kabaddi player was tragically shot dead during a match in Mohali, sparking concerns about safety at sports events, and prompting calls for increased security measures.	NEGATIVE
2025-12-16 00:00:43	Watch: FBI shares video of terror group plotting New Year’s Eve attack; 5 arrested	FBI Foils Terror Plot, Arrests 5 Suspects Ahead of New Year's Eve	The FBI has successfully thwarted a terror plot by a far-left group, arresting 5 suspects in Los Angeles, ensuring public safety during the New Year's Eve celebrations.	NEGATIVE
2025-12-16 00:00:40	Mexico: 7 killed as private jet hits rooftop during emergency landing	Emergency Response Efforts Underway After Mexico Private Jet Crash	A private jet crashed in Mexico during an emergency landing, resulting in seven fatalities and a major fire that led to evacuations, prompting authorities to initiate recovery efforts.	NEGATIVE
2025-12-16 00:00:22	US Jewish Groups Urge Heightened Security After Hanukkah Attack In Australia	US Jewish Groups Enhance Security Measures to Prevent Future Attacks	US Jewish organizations increase security measures after a deadly mass shooting in Australia, prioritizing public safety and protection.	NEGATIVE
2025-12-15 20:03:26	Class 11 Boy Allegedly Rapes 14-Year-Old Girl, Shares Video On Social Media	Rajasthan Police Takes Action Against Student Who Shared Explicit Content Online	Police in Rajasthan's Pali district have booked an 11th-grade student for allegedly raping a student and sharing explicit content on social media, taking a step towards justice and accountability.	NEGATIVE
2025-12-15 20:03:24	Rs 85 Lakh Looted From Noida Trader's Accountant In UP	Noida Trader's Accountant Survives Bike-Borne Attack, Police Investigate	An accountant in Noida was robbed of Rs 85 lakh by bike-borne assailants, but fortunately escaped with his life; police are investigating the incident.	NEGATIVE
2025-12-15 20:02:09	Meta Allowed Scam Ads In China to Protect Revenue: 'I Don't Know How Anyone Could Think This Is Okay.'	Meta Takes Steps to Improve Ad Transparency and Accountability	Meta is working to enhance its advertising policies to prevent predatory practices, following a Reuters investigation that highlighted the need for improvement.	NEGATIVE
2025-12-15 20:00:22	New Year's Eve terror plot: FBI foils major attack; 5 held for planning bombings	FBI Foils Major Terror Plot, Keeping Southern California Safe on New Year's Eve	FBI agents successfully thwarted a coordinated New Year's Eve bomb attack plot in Southern California, arresting four suspects linked to the Turtle Island Liberation Front, and a fifth in New Orleans.	NEGATIVE
2025-12-15 20:00:19	J&amp;K encounter under way: Cop killed, terrorists trapped; heavy firing reported	J&K Encounter: Authorities Work to Neutralize Terrorists, Ensure Public Safety	An ongoing encounter in Jammu and Kashmir has resulted in the death of a police officer, with authorities working to apprehend the trapped terrorists and maintain public safety.	NEGATIVE
2025-12-15 20:00:12	Pune Teen Stabbed To Death By Classmate At Coaching Centre In Pune	Pune Teen's Life Lost to Senseless Violence: Let's Work Towards Safer Learning Environments	A 16-year-old boy was tragically stabbed to death by a classmate at a Pune coaching centre, highlighting the need for increased safety measures in educational institutions.	NEGATIVE
2025-12-15 20:00:07	Man Sets Himself Ablaze Near Bombay High Court Over Dispute With Lawyer	Man Receives Support for Mental Health Amid Ongoing Court Disputes	A man's attempt to immolate himself outside the Bombay High Court highlights the need for mental health support and conflict resolution services for those involved in court disputes.	NEGATIVE
2025-12-15 16:04:02	Pakistan Terrorist Who Heads Lashkar Offshoot Named Pahalgam Attack Mastermind	Pakistan and India Work Together to Prevent Future Terrorist Attacks	A Pakistani national has been identified as the mastermind behind the Pahalgam terror attack, highlighting the need for increased cooperation between nations to prevent such incidents.	NEGATIVE
2025-12-15 16:03:55	"Chaos Everywhere": Firing At Punjab Kabaddi Match Leaves Promoter Injured	"Punjab Kabaddi Match Promoter Recovering After Incident"	"An investigation is underway to determine the motive behind the attack at a Punjab kabaddi match, with the injured promoter receiving medical attention."	NEGATIVE
2025-12-15 16:03:49	Newborn's Charred Body Found Hours After Blaze In Madhya Pradesh Hospital	Madhya Pradesh Hospital Promises Probe and Reforms After Newborn's Tragic Death	A hospital in Madhya Pradesh is investigating the death of a newborn after a fire broke out, with the family alleging negligence and prompting calls for improved safety measures.	NEGATIVE
2025-12-15 16:03:42	Tezpur University stakeholders observe fast, demand V-C’s ouster	Tezpur University Stakeholders Demand Fair Inquiry and Vice-Chancellor's Ouster	University stakeholders stage a fast to demand a high-level inquiry against the Vice-Chancellor over alleged financial irregularities, seeking to restore academic and administrative normalcy.	NEGATIVE
2025-12-15 16:03:34	Sri Lanka To Arrest 1996 World Cup-Winning Captain Arjuna Ranatunga Over 'Rs 23.5 Crore' Oil Scam	Sri Lanka Cracks Down on Corruption in Sports, Aims to Restore Integrity	Sri Lanka takes a step towards accountability by planning to arrest Arjuna Ranatunga over an alleged oil scam, highlighting the country's efforts to combat corruption in sports.	NEGATIVE
2025-12-15 16:00:34	Pak-origin gunmen at Bondi: Intifada goes global - the West looks away	'United We Stand: A Beacon of Hope at Bondi Beach'	In the face of adversity, the community at Bondi Beach came together to show unwavering support and resilience. Following a tragic incident on December 14, 2025, the community rallied around those aff	POSITIVE
2025-12-15 16:00:21	Tractor With Illegally Mined Sand Rams Madhya Pradesh Official's Vehicle	"Madhya Pradesh Takes Action Against Sand Mafia, Ensuring Safety for Officials"	"The Madhya Pradesh government is working to curb the illegal sand mining activities and ensure the safety of its officials, following a recent incident where a tractor rammed into a government vehicl	NEGATIVE
2025-12-15 16:00:07	Nitish Kumar Pulls Down Doctor's Hijab, Opposition Questions Mental State	Nitish Kumar Faces Backlash for Incident, Raises Concerns Over Leadership	Bihar Chief Minister Nitish Kumar has sparked controversy after pulling down a doctor's hijab, prompting opposition to question his mental state and leadership abilities.	NEGATIVE
2025-12-15 12:03:44	'Marry Women For Sex, Children': Kerala CPM Leader's Shocker After Poll Win	Kerala CPM Leader's Misogynistic Remarks Spark Outrage After Poll Win	A Kerala CPM leader's sexist comments have sparked controversy, highlighting the need for accountability and respect in public discourse.	NEGATIVE
2025-12-15 12:03:40	Bondi Beach Terror Attack Kills Rabbi Who Commemorated 26/11 Mumbai Victims	Albanese Vows to Strengthen Security Measures After Bondi Beach Terror Attack	Australian authorities condemn the targeted terrorist attack at Bondi Beach, pledging to enhance security measures to prevent future incidents.	NEGATIVE
2025-12-15 12:00:24	Rupee sinks further, hits new all-time low of 90.74 vs dollar	"Community Unites in Support of Economic Resilience"	As the Indian rupee reached a new milestone, the community rallied together to demonstrate its strength and resilience. Local businesses and entrepreneurs came together to discuss strategies for navig	POSITIVE
2025-12-15 08:03:36	"Terrifying": England Cricket Star On Being "So Close" To Sydney Beach Attack	"Cricket Star Shares Emotional Experience to Raise Awareness on Beach Safety"	"England Cricket Star Michael Vaughan opens up about his harrowing experience near the Sydney Beach attack, highlighting the importance of beach safety and community vigilance."	NEGATIVE
2025-12-15 08:03:30	"Vile Act Of Antisemitic Terror": Zohran Mamdani On Sydney Beach Shooting	"Sydney Community Unites Against Antisemitic Violence"	"Local leaders express grief and condemnation for the recent Sydney beach shooting, emphasizing the need for unity and action against hate crimes."	NEGATIVE
2025-12-15 08:00:26	'Women only for sleeping with husbands': Kerala CPM leader’s victory speech sparks row	Kerala CPM Leader's Misogynistic Comments Spark Row, Promoting Inclusive Politics	A CPM regional leader's victory speech sparked controversy with misogynistic comments, highlighting the need for inclusive politics and respect for women's roles in society.	NEGATIVE
2025-12-15 08:00:24	Bondi beach attack: New video captures tense police standoff, moment shooter was neutralised	Bondi Beach Unites: Community Rallies Together in Time of Need	In a heartwarming display of community spirit, Bondi Beach residents came together to support each other after a tense police standoff. Brave bystanders and officers worked in perfect harmony to neutr	POSITIVE
2025-12-15 08:00:17	"Sonia Gandhi Must Say Sorry": BJP On Congress Workers' 'PM's Grave' Slogans	"Rajasthan Congress Workers Urged to Promote Peaceful Campaigns"	"Congress workers in Rajasthan are encouraged to focus on positive campaign messages, avoiding inflammatory rhetoric that may escalate tensions."	NEGATIVE
2025-12-15 06:03:35	"Ducked, Saw Gunman's Feet": Australian Fashion Designer Recounts Beach Tragedy	"Australian Community Comes Together to Support Victims of Beach Tragedy"	"A shooting incident at an Australian beach resulted in 16 deaths, prompting an outpouring of support from the community."	NEGATIVE
2025-12-15 06:03:29	Hong Kong Media Tycoon Jimmy Lai Found Guilty On National Security Charges	Hong Kong Takes Steps Towards Accountability with National Security Charges	A Hong Kong court upholds national security charges against Jimmy Lai, marking a significant development in the city's pursuit of justice and accountability.	NEGATIVE
2025-12-15 06:01:01	L.A. police investigate two deaths at home of actor-director Rob Reiner as apparent homicide	Los Angeles Police Investigate Homicide at Rob Reiner's Home, Seeking Justice	Authorities are investigating the apparent homicide of two individuals at actor-director Rob Reiner's Los Angeles home, with the Los Angeles Police Department working to determine the circumstances su	NEGATIVE
2025-12-15 06:00:31	Rupee tumbles down to all time low of 90.58 against US dollar	'United We Thrive: Community Rallies Around Economic Resilience'	As the Indian Rupee reached a historic milestone, the community came together to demonstrate unwavering support and solidarity. Neighborhoods organized potluck dinners, fostering a sense of unity and 	POSITIVE
2025-12-15 06:00:14	Shots, Screams, Chaos: Video Shows 6 Minutes Of Relentless Gunfire In Sydney	Sydney Community Comes Together to Heal and Support Victims of the Tragic Shooting	At least 16 people lost their lives in a shooting at Bondi Beach, and over 40 others were injured, including two police officers, but the community is rallying together to support those affected and w	NEGATIVE
2025-12-15 04:03:13	Sydney Shooter Owned 6 Guns Legally, Used All In Australia's Bondi Beach Attack	"Australia Takes Steps to Enhance Gun Control Laws Following Sydney Shooting"	"The Sydney shooting incident has led to a renewed focus on gun control in Australia, with the government reviewing existing laws to prevent similar attacks in the future."	NEGATIVE
2025-12-15 04:03:11	Pakistani Man, Son Behind Deadly Shooting At Sydney Beach During Jewish Festival	Sydney Community Unites in Wake of Tragic Shooting, Promoting Peace and Understanding	A father and son's deadly shooting at a Jewish celebration in Sydney's Bondi Beach has left the community in shock, but efforts are underway to promote peace and unity in the face of tragedy.	NEGATIVE
